order_id,customer_id,order_date,product_category,order_value,customer_age,customer_region
1,108,2025-11-20,Grocery,10.48,57.0,West
2,929,2026-02-16,Home,11.59,24.0,West
3,786,2025-04-02,Beauty,42.86,29.0,South
4,527,2025-03-03,Grocery,19.13,29.0,North
5,520,2025-01-13,Grocery,35.45,37.0,South
6,1031,2024-10-09,Clothing,73.71,41.0,North
7,104,2025-06-11,Beauty,8.35,39.0,South
8,837,2024-12-14,Home,11.15,22.0,Central
9,242,2025-02-13,Home,4.32,34.0,North
10,114,2025-10-08,Clothing,34.85,30.0,South
11,632,2024-12-05,Grocery,17.87,23.0,West
12,1171,2026-02-06,Electronics,42.6,25.0,East
13,883,2025-04-17,Grocery,5.77,35.0,North
14,914,2024-10-15,Home,22.85,30.0,North
15,861,2025-03-16,Grocery,13.46,41.0,Central
16,944,2024-10-16,Clothing,32.13,31.0,North
17,616,2026-02-04,Electronics,47.32,35.0,West
18,154,2025-05-23,Electronics,59.83,47.0,West
19,1008,2025-01-09,Home,22.37,41.0,South
20,541,2025-03-25,Clothing,40.81,23.0,West
21,601,2024-11-16,Sports,32.28,46.0,North
22,445,2025-06-30,Beauty,8.87,29.0,South
23,220,2025-03-03,Beauty,41.6,38.0,South
24,1113,2025-07-23,Home,50.28,28.0,Central
25,938,2024-11-21,Home,31.87,18.0,South
26,773,2026-01-01,Home,28.52,42.0,North
27,483,2025-10-20,Clothing,54.33,18.0,Central
28,988,2026-01-13,Clothing,7.54,37.0,North
29,655,2025-02-20,Electronics,84.6,37.0,Central
30,533,2025-11-01,Grocery,9.06,25.0,West
31,541,2025-09-16,Grocery,23.25,23.0,East
32,273,2024-12-10,Beauty,19.43,27.0,West
33,111,2025-08-24,Grocery,5.72,18.0,West
34,666,2025-12-18,Electronics,29.82,34.0,North
35,1066,2026-02-23,Home,44.49,28.0,Central
36,77,2025-11-04,Grocery,10.62,35.0,Central
37,1030,2024-10-29,Beauty,12.45,38.0,Central
38,994,2025-05-14,Grocery,8.27,50.0,West
39,333,2024-09-15,Beauty,26.58,18.0,East
40,758,2025-11-10,Beauty,51.68,33.0,East
41,199,2025-08-29,Grocery,3.34,31.0,North
42,910,2025-12-08,Grocery,64.69,18.0,East
43,841,2025-08-03,Clothing,22.7,25.0,West
44,426,2025-05-06,Clothing,28.45,42.0,West
45,82,2024-12-25,Grocery,9.28,37.0,South
46,1165,2025-08-20,Sports,22.05,50.0,East
47,535,2025-01-14,Grocery,13.53,34.0,West
48,1072,2025-04-02,Beauty,9.63,28.0,East
49,814,2025-09-30,Grocery,7.43,33.0,Central
50,935,2024-10-30,Sports,44.97,30.0,West
51,912,2025-07-15,Grocery,4.75,28.0,North
52,234,2025-12-15,Clothing,26.17,20.0,North
