order_id,customer_id,order_date,product_category,order_value,customer_age,customer_region
602,935,2024-09-14,Grocery,15.49,30.0,West
842,788,2024-09-14,Clothing,24.54,37.0,West
1608,713,2024-09-14,Grocery,17.37,34.0,South
2143,1155,2024-09-14,Beauty,7.27,39.0,Central
2750,1170,2024-09-14,Beauty,30.95,26.0,South
3147,772,2024-09-14,Clothing,13.68,36.0,Central
3542,697,2024-09-14,Grocery,26.85,27.0,Central
3703,300,2024-09-14,Grocery,24.77,26.0,North
3937,629,2024-09-14,Grocery,39.02,39.0,Central
4593,88,2024-09-14,Sports,26.38,39.0,West
4637,990,2024-09-14,Electronics,17.88,42.0,West
4780,87,2024-09-14,Beauty,18.35,30.0,North
808,133,2024-09-15,Beauty,7.02,29.0,South
1239,358,2024-09-15,Beauty,35.24,34.0,West
1823,362,2024-09-15,Electronics,98.61,44.0,West
2096,934,2024-09-15,Clothing,17.51,43.0,South
2192,492,2024-09-15,Clothing,62.52,41.0,West
3250,475,2024-09-15,Grocery,6.18,19.0,North
3575,1144,2024-09-15,Sports,24.64,45.0,East
3597,408,2024-09-15,Home,14.31,29.0,South
3606,163,2024-09-15,Clothing,7.98,20.0,West
3981,542,2024-09-15,Electronics,17.99,44.0,East
3993,169,2024-09-15,Grocery,10.4,42.0,East
4123,1183,2024-09-15,Beauty,67.04,22.0,East
4370,632,2024-09-15,Beauty,5.42,23.0,Central
4564,226,2024-09-15,Home,15.31,29.0,West
4997,897,2024-09-15,Clothing,33.31,38.0,East
39,333,2024-09-16,Beauty,26.58,18.0,East
140,525,2024-09-16,Beauty,15.05,35.0,North
1286,59,2024-09-16,Electronics,41.35,35.0,South
2980,571,2024-09-16,Clothing,13.39,39.0,Central
3023,465,2024-09-16,Sports,29.76,50.0,West
3346,912,2024-09-16,Electronics,20.46,28.0,Central
3385,958,2024-09-16,Grocery,13.79,39.0,West
3729,410,2024-09-16,Grocery,30.23,36.0,North
3986,408,2024-09-16,Home,6.65,29.0,South
4292,1116,2024-09-16,Beauty,8.91,22.0,East
261,953,2024-09-17,Home,36.98,35.0,Central
302,992,2024-09-17,Home,20.54,49.0,East
1983,65,2024-09-17,Clothing,12.15,34.0,East
3578,1028,2024-09-17,Clothing,26.79,40.0,Central
4059,247,2024-09-17,Grocery,13.25,45.0,North
4317,1175,2024-09-17,Beauty,13.85,20.0,West
4345,450,2024-09-17,Home,26.52,27.0,South
113,667,2024-09-18,Beauty,50.11,38.0,South
285,530,2024-09-18,Grocery,2.83,41.0,North
436,149,2024-09-18,Grocery,22.24,27.0,Central
540,26,2024-09-18,Grocery,7.37,54.0,Central
939,554,2024-09-18,Home,53.37,35.0,South
1371,1057,2024-09-18,Beauty,22.26,27.0,North
1910,1129,2024-09-18,Clothing,16.53,32.0,West
2051,207,2024-09-18,Sports,33.33,35.0,East
2173,1197,2024-09-18,Home,22.12,43.0,South
2391,546,2024-09-18,Clothing,24.9,18.0,South
2426,674,2024-09-18,Grocery,16.76,27.0,North
2633,1097,2024-09-18,Beauty,39.01,33.0,West
2945,987,2024-09-18,Electronics,12.66,37.0,East
3391,304,2024-09-18,Home,9.69,28.0,West
3693,235,2024-09-18,Grocery,17.32,25.0,North
3938,567,2024-09-18,Grocery,19.89,29.0,South
4783,412,2024-09-18,Home,18.87,34.0,East
481,346,2024-09-19,Grocery,40.66,31.0,Central
499,1112,2024-09-19,Grocery,30.58,43.0,West
887,64,2024-09-19,Clothing,49.02,45.0,East
1873,725,2024-09-19,Clothing,35.29,46.0,West
2365,912,2024-09-19,Grocery,4.88,28.0,Central
2914,272,2024-09-19,Beauty,23.22,37.0,Central
2927,740,2024-09-19,Grocery,30.39,45.0,West
2978,1077,2024-09-19,Sports,65.58,39.0,East
3335,87,2024-09-19,Grocery,1.31,30.0,East
4086,759,2024-09-19,Grocery,7.2,32.0,South
4122,1135,2024-09-19,Sports,26.05,27.0,South
4516,953,2024-09-19,Sports,29.61,35.0,West
4811,245,2024-09-19,Clothing,31.9,43.0,Central
4841,916,2024-09-19,Electronics,17.71,45.0,North
588,119,2024-09-20,Clothing,21.39,36.0,Central
2026,568,2024-09-20,Electronics,18.06,44.0,West
2407,446,2024-09-20,Sports,13.99,44.0,East
2522,54,2024-09-20,Clothing,12.66,43.0,East
4795,476,2024-09-20,Grocery,8.27,42.0,East
388,998,2024-09-21,Grocery,12.54,21.0,West
790,15,2024-09-21,Electronics,21.39,27.0,North
882,1022,2024-09-21,Grocery,12.8,44.0,Central
1070,13,2024-09-21,Grocery,10.49,26.0,South
1342,165,2024-09-21,Sports,12.51,39.0,North
2207,162,2024-09-21,Electronics,97.03,39.0,East
2675,1118,2024-09-21,Electronics,107.74,26.0,South
2774,847,2024-09-21,Sports,24.07,42.0,North
3301,764,2024-09-21,Home,71.2,36.0,West
3356,530,2024-09-21,Beauty,28.69,41.0,East
4206,969,2024-09-21,Beauty,17.66,20.0,North
1348,842,2024-09-22,Home,17.15,36.0,North
1866,486,2024-09-22,Clothing,22.85,22.0,East
4888,648,2024-09-22,Beauty,5.02,46.0,Central
1322,330,2024-09-23,Clothing,24.8,30.0,South
3483,955,2024-09-23,Beauty,20.57,23.0,South
4133,877,2024-09-23,Clothing,9.3,18.0,Central
4877,496,2024-09-23,Beauty,28.85,48.0,Central
650,1019,2024-09-24,Grocery,23.47,23.0,South
721,167,2024-09-24,Beauty,19.3,34.0,North
784,147,2024-09-24,Beauty,46.23,44.0,South
1419,1034,2024-09-24,Beauty,16.1,22.0,Central
1453,62,2024-09-24,Electronics,24.2,22.0,South
3043,394,2024-09-24,Beauty,27.67,18.0,North
4039,368,2024-09-24,Clothing,25.33,39.0,Central
4094,534,2024-09-24,Grocery,11.27,42.0,West
4168,218,2024-09-24,Grocery,18.69,32.0,West
4279,881,2024-09-24,Clothing,38.22,28.0,West
4403,480,2024-09-24,Electronics,59.59,39.0,Central
4649,352,2024-09-24,Grocery,12.2,45.0,West
4908,949,2024-09-24,Beauty,42.76,46.0,North
998,433,2024-09-25,Beauty,42.7,21.0,West
1535,980,2024-09-25,Clothing,52.77,48.0,North
2063,180,2024-09-25,Clothing,30.14,46.0,West
2982,73,2024-09-25,Beauty,55.37,29.0,North
3728,633,2024-09-25,Clothing,56.06,34.0,West
4192,412,2024-09-25,Clothing,48.57,34.0,West
3462,1135,2024-09-26,Home,23.31,27.0,East
3497,124,2024-09-26,Grocery,21.96,30.0,South
3563,505,2024-09-26,Beauty,20.06,48.0,West
4402,143,2024-09-26,Home,26.47,25.0,South
649,1153,2024-09-27,Clothing,35.51,24.0,South
794,991,2024-09-27,Grocery,5.65,43.0,Central
1092,538,2024-09-27,Grocery,8.47,29.0,South
1427,806,2024-09-27,Grocery,24.69,19.0,Central
1786,293,2024-09-27,Electronics,51.37,51.0,North
2095,195,2024-09-27,Home,12.53,23.0,East
2472,119,2024-09-27,Beauty,16.93,36.0,South
2770,1151,2024-09-27,Home,15.02,40.0,North
3438,791,2024-09-27,Beauty,24.41,49.0,South
4027,252,2024-09-27,Beauty,60.15,60.0,East
1643,537,2024-09-28,Grocery,6.43,33.0,East
2130,385,2024-09-28,Clothing,18.44,32.0,Central
3904,15,2024-09-28,Clothing,16.21,27.0,East
4220,196,2024-09-28,Grocery,4.63,50.0,North
4655,147,2024-09-28,Beauty,4.25,44.0,North
422,834,2024-09-29,Electronics,39.69,37.0,North
1425,307,2024-09-29,Grocery,9.39,22.0,North
1502,313,2024-09-29,Clothing,13.39,25.0,East
2028,1141,2024-09-29,Clothing,35.88,38.0,East
4185,67,2024-09-29,Beauty,13.62,19.0,Central
94,465,2024-09-30,Clothing,10.49,50.0,West
924,175,2024-09-30,Clothing,60.19,44.0,South
2003,478,2024-09-30,Electronics,8.51,38.0,North
2337,546,2024-09-30,Home,11.08,18.0,North
3371,1185,2024-09-30,Clothing,21.31,47.0,North
3928,185,2024-09-30,Sports,14.49,49.0,South
3960,259,2024-09-30,Home,18.04,24.0,North
814,341,2024-10-01,Home,68.02,19.0,West
1940,250,2024-10-01,Clothing,5.63,25.0,West
2009,946,2024-10-01,Grocery,10.88,31.0,West
2059,474,2024-10-01,Electronics,52.02,38.0,South
2959,616,2024-10-01,Grocery,14.74,35.0,Central
3122,1199,2024-10-01,Electronics,41.79,49.0,East
3561,82,2024-10-01,Clothing,66.64,37.0,North
4055,8,2024-10-01,Beauty,12.57,32.0,South
4570,246,2024-10-01,Home,32.25,18.0,Central
4611,111,2024-10-01,Sports,9.29,18.0,North
1592,416,2024-10-02,Home,20.16,30.0,South
1773,436,2024-10-02,Electronics,53.87,50.0,South
2264,620,2024-10-02,Grocery,29.63,27.0,South
4447,370,2024-10-02,Electronics,47.86,34.0,West
975,178,2024-10-03,Sports,29.3,39.0,West
1144,1014,2024-10-03,Home,21.33,44.0,North
1188,719,2024-10-03,Clothing,4.8,29.0,East
1324,1064,2024-10-03,Grocery,19.5,31.0,Central
2240,1062,2024-10-03,Beauty,73.09,34.0,West
3037,963,2024-10-03,Clothing,23.16,29.0,Central
3457,901,2024-10-03,Sports,24.21,43.0,North
53,437,2024-10-04,Electronics,32.16,37.0,West
431,102,2024-10-04,Clothing,15.37,38.0,North
2454,564,2024-10-04,Home,11.77,18.0,West
2544,457,2024-10-04,Sports,19.27,29.0,East
2560,708,2024-10-04,Beauty,5.52,26.0,South
3213,411,2024-10-04,Home,18.52,33.0,East
3237,437,2024-10-04,Sports,44.89,37.0,North
3342,367,2024-10-04,Electronics,30.33,37.0,North
3861,653,2024-10-04,Grocery,13.03,31.0,East
244,780,2024-10-05,Clothing,44.21,31.0,South
1206,1084,2024-10-05,Home,24.14,25.0,North
1542,290,2024-10-05,Grocery,5.31,40.0,North
2574,470,2024-10-05,Clothing,26.5,42.0,South
4271,959,2024-10-05,Grocery,15.61,40.0,Central
4995,771,2024-10-05,Clothing,32.84,29.0,West
70,564,2024-10-06,Electronics,77.35,18.0,North
898,66,2024-10-06,Beauty,31.97,32.0,West
2022,792,2024-10-06,Sports,7.41,29.0,East
2425,419,2024-10-06,Home,40.87,41.0,South
2477,626,2024-10-06,Electronics,87.89,39.0,West
2690,1179,2024-10-06,Clothing,18.99,35.0,West
2904,742,2024-10-06,Home,23.4,33.0,Central
3522,399,2024-10-06,Clothing,31.91,63.0,Central
3761,210,2024-10-06,Electronics,55.47,31.0,East
4045,496,2024-10-06,Clothing,32.2,48.0,Central
648,643,2024-10-07,Grocery,11.25,29.0,West
715,1105,2024-10-07,Grocery,36.72,39.0,West
1595,843,2024-10-07,Sports,62.2,49.0,East
1985,765,2024-10-07,Clothing,24.36,20.0,North
3518,1084,2024-10-07,Grocery,12.67,25.0,North
1474,249,2024-10-08,Electronics,47.83,37.0,North
1559,1195,2024-10-08,Beauty,14.71,27.0,West
1760,698,2024-10-08,Grocery,13.45,18.0,East
2942,1125,2024-10-08,Clothing,5.48,42.0,East
3675,776,2024-10-08,Grocery,15.21,35.0,East
3833,970,2024-10-08,Grocery,52.8,30.0,East
4588,370,2024-10-08,Electronics,23.09,20.0,South
673,764,2024-10-09,Clothing,12.38,36.0,South
1202,574,2024-10-09,Electronics,47.99,28.0,North
2376,1189,2024-10-09,Grocery,14.18,35.0,North
2756,1046,2024-10-09,Sports,50.79,27.0,West
3116,598,2024-10-09,Sports,36.32,52.0,Central
3714,269,2024-10-09,Home,19.36,21.0,South
6,1031,2024-10-10,Clothing,73.71,41.0,North
108,798,2024-10-10,Clothing,4.54,33.0,Central
200,1155,2024-10-10,Electronics,28.7,39.0,Central
1538,133,2024-10-10,Electronics,66.83,29.0,North
2198,1033,2024-10-10,Beauty,16.9,27.0,South
3242,250,2024-10-10,Sports,18.49,25.0,South
4571,831,2024-10-10,Grocery,11.6,32.0,Central
382,1125,2024-10-11,Home,11.17,42.0,West
1507,1098,2024-10-11,Sports,20.35,30.0,East
2730,555,2024-10-11,Grocery,14.37,50.0,West
2791,1125,2024-10-11,Home,41.6,42.0,West
3102,158,2024-10-11,Grocery,23.46,18.0,North
3692,752,2024-10-11,Clothing,23.09,45.0,West
4549,630,2024-10-11,Electronics,11.88,49.0,North
4712,955,2024-10-11,Clothing,12.7,23.0,West
57,656,2024-10-12,Electronics,20.39,29.0,North
1034,377,2024-10-12,Grocery,3.67,35.0,East
2916,526,2024-10-12,Sports,14.12,29.0,Central
3052,211,2024-10-12,Beauty,16.48,34.0,Central
3379,1030,2024-10-12,Clothing,15.78,38.0,West
501,137,2024-10-13,Grocery,7.67,46.0,South
532,199,2024-10-13,Beauty,12.69,31.0,North
1483,348,2024-10-13,Beauty,6.03,48.0,North
1776,158,2024-10-13,Clothing,18.83,18.0,North
3005,846,2024-10-13,Beauty,18.41,33.0,East
4165,858,2024-10-13,Electronics,28.03,37.0,North
397,54,2024-10-14,Clothing,21.04,43.0,North
1260,963,2024-10-14,Grocery,20.5,29.0,South
1325,1040,2024-10-14,Electronics,9.16,29.0,North
1662,733,2024-10-14,Beauty,13.19,42.0,East
2303,684,2024-10-14,Beauty,22.27,31.0,Central
2906,1037,2024-10-14,Grocery,15.5,42.0,Central
4362,942,2024-10-14,Clothing,42.74,31.0,North
198,142,2024-10-15,Clothing,11.68,18.0,West
776,1142,2024-10-15,Grocery,3.8,48.0,South
1602,887,2024-10-15,Grocery,10.04,45.0,North
3661,669,2024-10-15,Clothing,32.86,23.0,West
3831,1077,2024-10-15,Grocery,3.68,39.0,South
4828,645,2024-10-15,Electronics,31.31,31.0,North
14,914,2024-10-16,Home,22.85,30.0,North
712,628,2024-10-16,Electronics,40.58,34.0,East
1373,540,2024-10-16,Sports,20.77,18.0,North
2113,1098,2024-10-16,Home,21.72,30.0,West
2542,1166,2024-10-16,Clothing,17.45,24.0,East
3555,498,2024-10-16,Beauty,44.26,50.0,Central
3618,491,2024-10-16,Home,37.5,30.0,Central
3664,1155,2024-10-16,Sports,35.29,39.0,East
3749,1104,2024-10-16,Beauty,41.44,41.0,North
4363,597,2024-10-16,Home,28.17,38.0,Central
4628,217,2024-10-16,Clothing,12.51,37.0,East
16,944,2024-10-17,Clothing,32.13,31.0,North
99,765,2024-10-17,Beauty,17.24,20.0,North
1201,1055,2024-10-17,Electronics,12.57,54.0,West
1220,529,2024-10-17,Clothing,12.5,18.0,West
1541,571,2024-10-17,Beauty,24.04,39.0,Central
1775,923,2024-10-17,Electronics,15.6,21.0,South
1899,897,2024-10-17,Home,26.24,38.0,South
1914,933,2024-10-17,Home,11.7,33.0,South
2705,83,2024-10-17,Clothing,17.69,43.0,South
3835,170,2024-10-17,Clothing,28.33,36.0,West
3949,1164,2024-10-17,Clothing,20.01,37.0,Central
4213,500,2024-10-17,Grocery,10.29,27.0,North
4244,40,2024-10-17,Clothing,28.75,30.0,South
4335,1101,2024-10-17,Home,114.15,29.0,North
4911,1137,2024-10-17,Grocery,2.95,18.0,South
197,412,2024-10-18,Clothing,20.32,34.0,North
399,337,2024-10-18,Home,30.71,34.0,Central
1362,81,2024-10-18,Home,18.12,40.0,East
1624,20,2024-10-18,Clothing,19.28,18.0,West
2210,166,2024-10-18,Home,7.51,30.0,North
2462,259,2024-10-18,Electronics,46.76,24.0,South
2618,64,2024-10-18,Home,20.75,45.0,East
2621,1017,2024-10-18,Clothing,22.16,36.0,West
2658,325,2024-10-18,Beauty,12.45,26.0,West
4727,118,2024-10-18,Grocery,13.08,30.0,East
578,629,2024-10-19,Home,17.79,39.0,East
949,1138,2024-10-19,Clothing,22.75,26.0,East
1622,5,2024-10-19,Clothing,11.51,52.0,South
1715,774,2024-10-19,Home,9.85,26.0,Central
2438,812,2024-10-19,Clothing,24.66,37.0,North
3357,69,2024-10-19,Home,18.99,37.0,South
3571,960,2024-10-19,Home,11.6,33.0,South
3634,913,2024-10-19,Home,45.02,34.0,North
4889,406,2024-10-19,Grocery,13.2,38.0,Central
248,499,2024-10-20,Grocery,18.15,33.0,South
977,115,2024-10-20,Beauty,10.66,29.0,East
1400,360,2024-10-20,Beauty,12.73,25.0,Central
1653,63,2024-10-20,Home,12.92,40.0,East
1958,639,2024-10-20,Electronics,36.59,39.0,North
2055,858,2024-10-20,Grocery,6.08,37.0,Central
2566,518,2024-10-20,Beauty,15.49,37.0,North
